#{"t_start": 1708357378.376841, "env_id": "None"}
r,l,t
-60.0,63,0.169042
-111.0,114,0.326374
-79.0,81,0.436896
-62.0,65,0.545086
-47.0,49,0.68166
-97.0,100,0.828282
-20.0,23,0.860824
-98.0,101,1.009451
-29.0,32,1.050527
-57.0,59,1.126693
-216.0,219,1.431964
-36.0,39,1.48871
-69.0,72,1.607619
-65.0,67,1.737818
-225.0,228,2.09927
-32.0,35,2.14798
-65.0,67,2.248822
-113.0,115,2.413254
-91.0,94,2.54695
-83.0,85,2.665608
-52.0,54,2.740593
-57.0,59,2.827261
-92.0,95,2.962145
-47.0,50,3.028939
-32.0,34,3.078154
-128.0,131,4.781515
-131.0,134,4.963622
-54.0,56,5.042642
-72.0,75,5.150878
-94.0,96,5.275668
-24.0,26,5.307546
-34.0,37,5.355984
-193.0,195,5.600059
-102.0,104,5.754298
-34.0,37,5.802021
-97.0,100,5.939946
-99.0,101,6.081709
-50.0,53,6.150319
-20.0,22,6.180393
-85.0,87,6.296498
-170.0,173,6.530146
-37.0,39,6.583546
-69.0,71,6.679217
-68.0,70,6.774977
-32.0,34,6.825071
-55.0,57,6.903796
-83.0,86,7.024333
-64.0,66,7.121889
-55.0,58,7.206238
-71.0,73,7.318553
-112.0,115,7.485266
-34.0,37,9.305991
-65.0,67,9.404045
-39.0,42,9.472719
-34.0,36,9.529361
-13.0,16,9.554686
-77.0,79,9.696238
-28.0,30,9.755044
-44.0,47,9.83298
-77.0,80,10.01623
-132.0,135,10.222446
-83.0,85,10.354957
-79.0,82,10.483994
-61.0,64,10.569824
-120.0,122,10.741534
-83.0,85,10.863131
-22.0,25,10.899985
-33.0,35,10.949433
-74.0,76,11.060549
-218.0,221,11.398792
-34.0,36,11.450612
-85.0,88,11.567799
-45.0,48,11.629234
-37.0,40,11.685947
-16.0,19,11.714513
-93.0,95,11.838524
-18.0,21,11.872953
-4.0,7,11.883034
-42.0,45,11.944252
-45.0,47,12.009348
-87.0,90,12.138561
-143.0,146,12.359986
-42.0,44,14.001237
-66.0,68,14.090503
-44.0,46,14.149678
-87.0,90,14.281772
-30.0,32,14.326125
-17.0,19,14.350645
-20.0,23,14.381313
-99.0,101,14.508171
-41.0,44,14.563733
-72.0,74,14.660828
-88.0,90,14.772657
-47.0,50,14.838653
-82.0,84,14.954845
-62.0,64,15.039068
-110.0,113,15.180229
-133.0,135,15.349377
-51.0,53,15.415765
-36.0,38,15.462177
-36.0,38,15.507498
-131.0,134,15.67672
-30.0,32,15.717851
-33.0,35,15.763577
-166.0,168,15.966476
-102.0,105,16.097843
-47.0,50,16.158577
-70.0,72,16.23949
-160.0,163,16.441833
-65.0,67,16.530091
-22.0,24,18.098232
-97.0,99,18.220536
-72.0,75,18.312312
-97.0,100,18.435473
-132.0,134,18.607302
-115.0,118,18.767818
-8.0,10,18.786864
-46.0,49,18.849913
-38.0,41,18.901829
-44.0,47,18.960122
-89.0,92,19.075809
-86.0,89,19.188645
-33.0,35,19.236711
-51.0,54,19.308579
-25.0,27,19.341057
-20.0,23,19.371744
0.0,3,19.376
-36.0,38,19.432281
-11.0,14,19.450984
-20.0,23,19.48066
-25.0,27,19.520152
-40.0,42,19.580348
-37.0,40,19.637338
-39.0,41,19.689298
-12.0,15,19.708
-67.0,70,19.792928
-45.0,47,19.855166
-11.0,14,19.873848
-41.0,44,19.92839
-36.0,39,19.975582
-134.0,137,20.168186
-8.0,11,20.182377
-21.0,23,20.211204
-68.0,71,20.30269
-123.0,126,20.55203
-24.0,27,20.591948
-102.0,105,20.728047
-46.0,49,20.789241
-93.0,95,22.355998
-42.0,45,22.414976
-15.0,17,22.439224
-93.0,96,22.567727
-76.0,79,22.665736
-33.0,35,22.706908
-47.0,49,22.764772
-30.0,32,22.803257
-63.0,66,22.88466
-99.0,102,23.001708
-19.0,22,23.026746
-39.0,41,23.076051
-42.0,44,23.127643
-30.0,32,23.170054
-57.0,60,23.239696
-92.0,95,23.352303
-21.0,24,23.382539
-27.0,29,23.417894
-60.0,62,23.496139
-51.0,53,23.559704
-126.0,129,23.715057
-103.0,106,23.849034
-36.0,38,23.895203
-7.0,9,23.909871
-38.0,41,23.959799
-106.0,108,24.088079
-50.0,52,24.151114
-237.0,239,24.445742
-21.0,23,24.472428
-45.0,48,24.531197
-116.0,118,24.671876
-45.0,47,24.727429
-171.0,174,26.373933
-27.0,30,26.413771
-74.0,77,26.510097
-60.0,63,26.600185
-150.0,153,26.815598
-36.0,39,26.876119
-23.0,26,26.911056
-16.0,18,26.938809
-19.0,21,26.967001
-116.0,118,27.133585
-54.0,56,27.210179
-9.0,12,27.228231
-56.0,58,27.31001
-13.0,15,27.330118
-63.0,66,27.431043
-14.0,16,27.453187
-48.0,50,27.527211
-89.0,91,27.663158
-43.0,45,27.732372
-69.0,71,27.842376
-149.0,152,28.057207
-62.0,65,28.15351
-31.0,33,28.202754
-8.0,10,28.21772
-107.0,110,28.386444
-93.0,96,28.531839
-88.0,91,28.667434
-159.0,162,28.953343
-45.0,48,29.032923
-23.0,25,29.07338
-32.0,34,29.13212
-46.0,49,29.220129
-49.0,51,31.434945
-76.0,79,31.593909
-71.0,73,31.715176
-19.0,22,31.751786
-11.0,13,31.773153
-93.0,95,31.967758
-31.0,33,32.030935
-176.0,179,32.339565
-67.0,70,32.577303
-47.0,49,32.728123
-34.0,36,32.826457
-54.0,56,32.950107
-65.0,68,33.068276
-150.0,153,33.340604
-49.0,52,33.445109
-16.0,18,33.477729
-49.0,52,33.577928
-23.0,26,33.62173
-34.0,36,33.690703
-13.0,15,33.718101
-70.0,73,33.853845
-47.0,49,33.942432
-101.0,103,34.131391
-96.0,99,34.297158
-2.0,5,34.305623
1.0,2,34.309466
-26.0,28,34.356957
-46.0,49,34.445321
-35.0,38,34.512359
-33.0,36,34.573673
-148.0,151,34.832477
-21.0,23,34.875349
-65.0,68,35.000658
-104.0,106,35.203799
-98.0,101,37.648383
-29.0,32,37.710621
-62.0,64,37.826141
-21.0,24,37.873542
-29.0,31,37.927259
-18.0,21,37.966202
-30.0,32,38.02861
-59.0,62,38.139601
-68.0,70,38.278909
-52.0,54,38.376164
-44.0,47,38.46601
-27.0,29,38.518711
2.0,1,38.520509
-70.0,72,38.647516
-32.0,34,38.710791
-265.0,268,39.208984
-82.0,85,39.370426
-97.0,100,39.548148
-23.0,26,39.599553
-36.0,39,39.678332
-36.0,38,39.74928
-50.0,52,39.852778
-138.0,140,40.127817
-54.0,57,40.2385
-51.0,54,40.415171
-115.0,118,40.662328
-36.0,39,40.735578
-8.0,10,40.760813
-28.0,30,40.819276
-13.0,15,40.854849
-21.0,23,40.899933
-62.0,64,41.030483
-10.0,13,41.053331
