#{"t_start": 1708357321.466105, "env_id": "None"}
r,l,t
9.0,2,0.055447
8.0,3,0.059484
8.0,3,0.062834
-45.0,56,0.11965
-77.0,88,0.198534
-85.0,96,0.284982
-84.0,90,0.358793
-8.0,19,0.375371
-55.0,61,0.435927
-90.0,96,0.519314
-146.0,157,0.667446
-34.0,45,0.706097
-32.0,43,0.746338
-83.0,89,0.825866
-14.0,25,0.846359
-60.0,66,0.90353
-30.0,36,0.932831
-113.0,124,1.039192
-117.0,128,1.165142
-148.0,159,1.333705
-126.0,132,1.458219
-38.0,49,1.507052
-37.0,48,1.555885
-52.0,58,1.610516
-69.0,80,1.680014
-16.0,27,1.704433
-45.0,51,1.75489
-16.0,22,1.773273
-34.0,40,1.809592
-76.0,82,1.884326
-51.0,57,1.935602
-380.0,391,3.284669
-59.0,70,3.353562
-5.0,11,3.363317
-122.0,128,3.491985
-87.0,93,3.577625
-78.0,84,3.659499
-8.0,14,3.67328
-12.0,18,3.692875
-41.0,47,3.738959
-53.0,59,3.795596
-118.0,129,3.912604
-47.0,53,3.964372
-249.0,255,4.198486
-66.0,77,4.269033
-40.0,51,4.312657
4.0,2,4.314445
-25.0,36,4.348721
-65.0,76,4.417071
-135.0,141,4.552056
-72.0,83,4.637127
-65.0,71,4.700474
-120.0,131,4.814941
-1.0,12,4.824528
-50.0,56,5.943675
2.0,9,5.952748
-68.0,79,6.029583
-8.0,14,6.043249
-58.0,69,6.105036
-67.0,78,6.174613
-10.0,16,6.188508
-52.0,58,6.242682
-60.0,66,6.309765
-194.0,205,6.492986
-134.0,145,6.643809
-65.0,71,6.715881
-46.0,57,6.780277
-54.0,65,6.846507
-70.0,81,6.929072
-96.0,107,7.042529
-125.0,136,7.181052
-177.0,183,7.369273
-89.0,100,7.472773
-41.0,47,7.515885
-71.0,77,7.586018
-44.0,50,7.631277
-381.0,392,9.003051
-77.0,83,9.074834
-9.0,20,9.093689
-45.0,56,9.141617
-63.0,69,9.201221
-60.0,71,9.261736
-101.0,112,9.358432
-62.0,68,9.429215
-37.0,48,9.476789
-40.0,46,9.521828
-85.0,91,9.61274
-46.0,52,9.65738
-62.0,73,9.72193
-10.0,16,9.736593
-21.0,32,9.763908
-15.0,26,9.788321
-44.0,50,9.830619
-51.0,57,9.887037
-29.0,40,9.92458
-37.0,48,9.964472
-34.0,40,10.007835
-107.0,118,10.119672
-37.0,43,10.172346
-49.0,55,10.22921
-39.0,45,10.274336
-69.0,80,10.345313
-164.0,170,10.504333
-47.0,58,10.56131
-28.0,39,10.599761
8.0,3,10.603255
-103.0,114,10.720752
-71.0,82,10.797749
-91.0,102,12.025233
-29.0,35,12.053641
-11.0,17,12.068871
-90.0,96,12.161689
-73.0,79,12.231896
-128.0,134,12.353801
-48.0,54,12.402038
