#{"t_start": 1708682093.836694, "env_id": "None"}
r,l,t
10.0,10,0.05564
5.0,5,0.060741
17.0,17,0.077827
9.0,9,0.087746
31.0,31,0.121541
18.0,18,0.143068
9.0,9,0.151731
10.0,10,0.160836
17.0,17,0.176891
34.0,34,0.205883
22.0,22,0.224134
11.0,11,0.233047
3.0,3,0.235456
103.0,49,0.279231
5.0,5,0.28368
59.0,14,0.294802
8.0,8,0.300838
26.0,8,0.306891
79.0,25,0.326849
7.0,7,0.332466
22.0,22,0.356326
66.0,48,0.401046
11.0,11,0.409804
9.0,9,0.417038
30.0,21,0.433721
45.0,27,0.457721
19.0,19,0.473775
7.0,7,0.479673
4.0,4,0.482946
49.0,31,0.508654
57.0,39,0.539403
15.0,15,0.553857
3.0,3,0.55621
11.0,11,0.567566
22.0,22,0.587417
26.0,26,0.609957
8.0,8,0.616946
103.0,67,0.681216
14.0,14,0.693764
18.0,18,0.709295
29.0,29,0.734792
6.0,6,0.739523
37.0,19,0.75433
65.0,56,0.803674
21.0,21,0.819882
93.0,75,0.888823
37.0,37,0.9368
43.0,16,0.950968
39.0,21,0.968285
65.0,47,1.008888
9.0,9,1.016074
42.0,33,1.042681
10.0,10,1.050643
23.0,23,1.068979
4.0,4,1.072124
13.0,13,1.089113
5.0,5,1.094777
39.0,21,1.115794
40.0,40,1.151834
18.0,18,1.167939
44.0,26,1.192661
37.0,19,1.210121
90.0,63,1.269252
21.0,21,1.291456
13.0,13,1.309107
10.0,10,1.31837
19.0,19,1.336868
73.0,55,1.389614
33.0,33,1.423775
13.0,13,1.436651
29.0,29,1.467376
40.0,40,1.539632
54.0,36,1.62431
27.0,27,1.660606
35.0,17,1.68189
49.0,40,1.730606
2.0,2,1.733243
17.0,17,1.750801
20.0,11,1.761446
33.0,15,1.775628
39.0,39,1.814051
8.0,8,1.8236
14.0,14,1.837196
12.0,12,1.849976
46.0,19,1.86782
17.0,17,1.884033
51.0,33,1.915859
15.0,15,1.932605
12.0,12,1.947108
31.0,31,1.978724
6.0,6,1.984636
18.0,18,2.002124
8.0,8,2.010619
37.0,19,2.031539
83.0,65,3.125378
4.0,4,3.129099
33.0,33,3.161072
30.0,30,3.192782
7.0,7,3.200356
17.0,17,3.218379
4.0,4,3.222113
14.0,14,3.235637
7.0,7,3.242393
62.0,44,3.287508
7.0,7,3.294006
25.0,25,3.317097
2.0,2,3.318976
80.0,53,3.363594
6.0,6,3.368415
35.0,17,3.386368
11.0,11,3.396618
16.0,16,3.41121
28.0,10,3.419536
19.0,19,3.436084
10.0,10,3.445611
18.0,18,3.461397
37.0,37,3.495232
48.0,48,3.540935
9.0,9,3.548425
6.0,6,3.553222
18.0,18,3.567897
14.0,14,3.579814
19.0,19,3.598225
87.0,33,3.629714
41.0,41,3.670507
19.0,19,3.689369
16.0,16,3.707726
5.0,5,3.713002
24.0,24,3.735783
26.0,26,3.761507
26.0,17,3.778028
13.0,13,3.791131
4.0,4,3.795411
11.0,11,3.808205
33.0,24,3.830862
21.0,21,3.853233
27.0,27,3.877865
5.0,5,3.882417
5.0,5,3.886881
48.0,30,3.917961
7.0,7,3.924533
24.0,24,3.947109
9.0,9,3.955064
18.0,18,3.971259
10.0,10,3.980526
35.0,35,4.016844
41.0,23,4.041546
9.0,9,4.051424
5.0,5,4.056205
47.0,29,4.086313
75.0,39,4.126326
36.0,18,4.143235
16.0,16,4.158682
9.0,9,4.167576
133.0,97,4.267115
2.0,2,4.269453
7.0,7,4.276142
30.0,30,4.308469
59.0,41,4.350945
25.0,25,4.374176
21.0,21,4.394156
12.0,12,4.405432
7.0,7,4.412359
2.0,2,4.414425
106.0,88,4.496721
2.0,2,4.498543
6.0,6,4.503715
18.0,9,4.511778
92.0,38,4.548534
38.0,38,4.584018
34.0,34,4.616759
16.0,16,4.633191
26.0,26,4.656371
17.0,17,4.671884
26.0,26,4.696289
3.0,3,4.699187
27.0,18,4.715631
23.0,23,4.738251
26.0,17,4.753846
27.0,27,4.779935
3.0,3,4.782881
67.0,67,4.849799
46.0,46,4.893462
8.0,8,4.901049
7.0,7,4.907451
57.0,48,4.956053
13.0,13,4.9691
22.0,22,4.991795
42.0,24,5.014777
19.0,19,5.032878
14.0,14,5.045848
25.0,25,5.071672
5.0,5,5.076847
10.0,10,5.086593
3.0,3,5.089714
6.0,6,5.095514
41.0,41,6.28999
23.0,23,6.314093
9.0,9,6.322454
3.0,3,6.325207
14.0,14,6.338865
12.0,12,6.350971
9.0,9,6.359344
5.0,5,6.363873
18.0,18,6.380242
7.0,7,6.386738
33.0,33,6.420252
136.0,82,6.497887
38.0,38,6.535404
52.0,43,6.574568
18.0,18,6.591461
13.0,13,6.603647
11.0,11,6.61373
4.0,4,6.617376
13.0,13,6.631097
9.0,9,6.638805
29.0,29,6.666203
56.0,38,6.700643
26.0,26,6.73019
92.0,47,6.773288
84.0,48,6.815279
6.0,6,6.820667
7.0,7,6.826738
2.0,2,6.830527
7.0,7,6.83681
12.0,12,6.8496
27.0,27,6.874284
15.0,15,6.888467
28.0,28,6.914565
11.0,11,6.924553
17.0,17,6.942319
12.0,12,6.953816
26.0,26,6.978402
85.0,58,7.032843
8.0,8,7.043688
7.0,7,7.050819
