#{"t_start": 1706261395.168169, "env_id": "None"}
r,l,t
38.0,38,0.040418
31.0,31,0.060896
4.0,4,0.063327
17.0,17,0.075298
7.0,7,0.079304
58.0,58,0.112457
34.0,34,0.131588
16.0,16,0.140445
109.0,109,0.205823
40.0,40,0.230058
18.0,18,0.240542
5.0,5,0.243576
10.0,10,0.248951
42.0,42,0.273502
44.0,44,0.299262
4.0,4,0.301996
54.0,54,0.33314
16.0,16,0.342305
54.0,54,0.372409
43.0,43,0.400607
7.0,7,0.405965
48.0,48,0.436506
67.0,67,0.481507
7.0,7,0.486725
30.0,30,0.505437
2.0,2,0.506736
4.0,4,0.509081
4.0,4,0.511366
49.0,49,0.541226
6.0,6,0.544915
25.0,25,0.56031
145.0,145,0.650648
26.0,26,0.672552
46.0,46,0.739967
17.0,17,0.751103
11.0,11,0.75733
97.0,97,0.817975
106.0,106,0.881002
61.0,61,0.92094
88.0,88,0.984722
37.0,37,1.009842
5.0,5,1.013297
21.0,21,1.026863
6.0,6,1.030763
11.0,11,1.037912
18.0,18,1.049064
7.0,7,1.05346
45.0,45,1.082233
12.0,12,1.09015
46.0,46,1.121528
15.0,15,1.131354
46.0,46,1.161146
35.0,35,1.18332
79.0,79,1.236255
13.0,13,1.244649
15.0,15,1.25436
19.0,19,1.266515
22.0,22,1.279805
82.0,82,1.329206
10.0,10,1.335394
37.0,37,1.360017
7.0,7,1.364063
7.0,7,1.368121
30.0,30,1.385608
17.0,17,1.395889
24.0,24,1.409908
16.0,16,1.419004
37.0,37,1.442748
39.0,39,1.467844
39.0,39,1.492658
19.0,19,1.505695
9.0,9,1.511435
4.0,4,1.513904
12.0,12,1.521204
82.0,82,1.573411
30.0,30,1.592045
32.0,32,1.61095
21.0,21,1.623079
30.0,30,1.640746
10.0,10,1.647054
31.0,31,1.666398
26.0,26,1.68179
11.0,11,1.687936
35.0,35,1.709887
73.0,73,1.759189
46.0,46,1.789602
11.0,11,1.799716
37.0,37,1.825329
2.0,2,1.826703
4.0,4,1.829253
58.0,58,1.867191
15.0,15,1.877229
58.0,58,1.915488
58.0,58,1.952697
33.0,33,1.97387
6.0,6,1.977629
22.0,22,1.991599
27.0,27,2.009364
17.0,17,2.019996
46.0,46,2.047042
7.0,7,2.051097
34.0,34,2.070044
8.0,8,2.074635
10.0,10,2.080284
25.0,25,2.094865
34.0,34,2.114261
14.0,14,2.122334
5.0,5,2.12516
31.0,31,2.143797
4.0,4,2.146242
22.0,22,2.159739
40.0,40,2.181959
85.0,85,2.259493
19.0,19,2.271698
34.0,34,2.293933
64.0,64,2.334939
4.0,4,2.337475
29.0,29,2.355446
58.0,58,2.39069
29.0,29,2.40949
43.0,43,2.436733
13.0,13,2.445042
45.0,45,2.473816
26.0,26,2.489791
7.0,7,2.494058
