#{"t_start": 1707389335.480683, "env_id": "None"}
r,l,t
-12.0,23,0.066245
-59.0,61,0.117925
1.0,10,0.128239
-10.0,21,0.146308
10.0,1,0.147454
-3.0,14,0.159652
8.0,3,0.162177
-12.0,14,0.174331
-6.0,17,0.187786
-7.0,9,0.194989
6.0,5,0.199035
-12.0,23,0.21822
4.0,7,0.224439
9.0,2,0.226198
-6.0,8,0.235246
-4.0,15,0.248121
0.0,2,0.249889
0.0,2,0.251611
-23.0,34,0.279248
-3.0,5,0.283365
10.0,1,0.284253
-10.0,21,0.301121
-27.0,38,0.33212
-11.0,13,0.346138
-11.0,13,0.356953
-11.0,13,0.3675
-9.0,11,0.376586
-29.0,40,0.408247
-53.0,55,0.454668
-14.0,16,0.467848
-3.0,5,0.472136
-34.0,36,0.501452
-15.0,17,0.515491
7.0,4,0.518815
-14.0,16,0.532509
-8.0,10,0.543735
-11.0,13,0.55461
-18.0,29,0.578368
-33.0,35,0.606555
-24.0,26,0.627036
-9.0,11,0.635944
10.0,1,0.636829
-43.0,45,0.67601
-13.0,24,0.695713
-10.0,12,0.705704
-1.0,12,0.715571
-12.0,14,0.727103
-6.0,8,0.733986
-17.0,19,0.753136
-21.0,23,0.77215
-6.0,8,0.77884
7.0,4,0.782228
-15.0,17,0.796272
8.0,3,0.798781
-7.0,9,0.806326
-6.0,8,0.81275
-20.0,31,0.838058
-19.0,21,0.858245
-9.0,11,0.867611
1.0,10,0.876207
-12.0,23,0.89519
1.0,1,0.896119
-4.0,15,0.908263
-5.0,7,0.914254
-10.0,12,0.924382
-2.0,4,0.927913
-7.0,18,0.942809
-24.0,26,0.966474
-14.0,16,0.980331
0.0,2,0.982213
-15.0,26,1.003298
-50.0,52,1.044371
-46.0,48,1.085141
0.0,11,1.094257
-24.0,26,1.11566
6.0,5,1.120101
-16.0,18,1.135667
-11.0,13,1.146627
-15.0,17,1.161012
8.0,3,1.163714
-25.0,36,1.194922
-20.0,22,1.212803
10.0,1,1.213717
-11.0,13,1.224181
-14.0,16,1.237097
-5.0,16,1.249809
-2.0,4,1.253122
-10.0,12,1.26324
-3.0,5,1.267626
-22.0,24,1.289299
-3.0,14,1.300916
-16.0,18,1.315791
-20.0,22,1.333697
-5.0,7,1.339665
-13.0,15,1.351996
-4.0,15,1.363935
-32.0,34,1.393843
-32.0,34,1.421669
-18.0,20,1.437859
-8.0,10,1.445949
6.0,5,1.449951
-10.0,12,1.459888
-31.0,33,1.488595
-13.0,15,1.501135
-10.0,21,1.518152
-64.0,66,1.571572
-2.0,4,1.57519
0.0,2,1.576947
-38.0,49,1.619041
5.0,6,1.624105
-43.0,54,1.667552
-18.0,29,1.693347
-13.0,24,1.713057
-4.0,6,1.71814
0.0,11,1.727549
8.0,3,1.730106
-6.0,8,1.736923
10.0,1,1.737814
-55.0,66,2.731283
6.0,5,2.735441
10.0,1,2.736343
-13.0,24,2.758998
-20.0,22,2.777257
-2.0,4,2.780586
-1.0,12,2.790373
-62.0,64,2.844461
-2.0,4,2.847819
-22.0,24,2.867455
-2.0,4,2.870804
9.0,2,2.872636
10.0,1,2.873916
-20.0,22,2.891889
1.0,10,2.899903
-5.0,7,2.905547
-14.0,16,2.918393
-20.0,22,2.935955
-29.0,31,2.963605
-5.0,7,2.969564
-21.0,23,2.988962
-12.0,14,3.000385
-4.0,6,3.005357
-32.0,34,3.032384
8.0,3,3.034839
-16.0,18,3.049679
-3.0,5,3.055832
-15.0,17,3.069776
0.0,11,3.079086
-2.0,4,3.082614
0.0,2,3.084318
7.0,4,3.087628
-7.0,9,3.095002
10.0,1,3.09587
-48.0,50,3.135112
10.0,1,3.136041
-25.0,27,3.159866
-9.0,20,3.176472
10.0,1,3.177372
-12.0,14,3.189217
-17.0,19,3.204747
2.0,9,3.211918
-14.0,16,3.224561
-9.0,11,3.233264
-52.0,54,3.279457
-21.0,23,3.298655
-22.0,24,3.318078
1.0,10,3.326078
-7.0,9,3.3333
-3.0,14,3.344471
-11.0,22,3.362534
-9.0,11,3.374511
-44.0,55,3.420095
-23.0,25,3.440471
-18.0,20,3.456884
7.0,4,3.460262
-13.0,15,3.474931
-2.0,4,3.478262
-2.0,4,3.48155
-23.0,25,3.501761
-9.0,11,3.510842
10.0,1,3.511744
10.0,1,3.512629
-3.0,14,3.524352
10.0,1,3.525252
6.0,5,3.529341
-22.0,24,3.54857
-18.0,29,3.572025
-55.0,66,3.629275
-8.0,10,3.637464
-7.0,9,3.645056
-11.0,13,3.65557
2.0,9,3.662906
-13.0,24,3.684884
-1.0,12,3.695153
-8.0,10,3.703769
-14.0,16,3.7171
-30.0,41,3.750877
-14.0,16,3.763798
-18.0,20,3.780511
-14.0,25,3.803309
-20.0,31,3.828548
-59.0,61,3.87734
6.0,5,3.881622
6.0,5,3.885659
-9.0,20,3.904367
-23.0,25,3.924675
-19.0,30,3.949159
-9.0,11,3.958172
-7.0,9,3.965537
1.0,10,3.974282
-48.0,50,4.018033
-1.0,3,4.020679
-13.0,15,4.03322
2.0,9,4.040909
-21.0,23,4.059622
-16.0,18,4.074148
-59.0,61,4.125954
-5.0,16,4.139532
10.0,1,4.140664
-5.0,7,4.146385
-23.0,25,4.166353
-21.0,23,4.185382
-62.0,73,4.247341
9.0,2,4.249078
-1.0,3,4.2516
-20.0,22,4.269572
-22.0,33,4.29716
-1.0,3,4.299787
-12.0,14,4.313383
-10.0,12,4.323166
-10.0,21,4.340278
-57.0,68,4.39649
10.0,1,4.397494
-27.0,29,4.425055
10.0,1,4.426017
9.0,2,4.427737
-19.0,21,5.376418
7.0,4,5.37989
-7.0,9,5.387745
-20.0,22,5.405648
-2.0,4,5.408974
10.0,1,5.409842
0.0,2,5.411539
-10.0,12,5.421594
-33.0,35,5.452022
0.0,2,5.453772
-9.0,11,5.463059
9.0,2,5.464819
-19.0,21,5.482302
-33.0,35,5.51046
-10.0,12,5.520016
-5.0,7,5.525632
-21.0,32,5.551344
-16.0,18,5.568254
-4.0,6,5.573549
-5.0,7,5.580143
-12.0,14,5.592028
-12.0,23,5.611038
-15.0,17,5.624944
8.0,3,5.627474
10.0,1,5.628361
-5.0,7,5.634213
-5.0,7,5.639954
0.0,2,5.641662
-16.0,18,5.656658
10.0,1,5.657652
-30.0,32,5.685964
-10.0,12,5.69582
-8.0,19,5.711321
-18.0,20,5.727397
-19.0,21,5.744185
-35.0,37,5.776965
-26.0,28,5.800251
-9.0,11,5.809393
-17.0,19,5.825107
-5.0,7,5.830931
-5.0,7,5.836772
10.0,1,5.837664
2.0,9,5.845153
-19.0,21,5.862256
-2.0,13,5.875117
-10.0,12,5.884812
-23.0,34,5.912782
9.0,2,5.914501
-13.0,15,5.926566
10.0,1,5.927477
-15.0,17,5.941047
-11.0,22,5.958846
-19.0,21,5.978694
-5.0,7,5.985286
-8.0,10,5.994009
-4.0,6,5.999362
-2.0,4,6.002746
4.0,7,6.008872
-38.0,40,6.040936
-17.0,19,6.056036
-14.0,16,6.068782
-17.0,28,6.094188
-2.0,4,6.097539
-10.0,21,6.114624
-8.0,19,6.130194
-37.0,48,6.194458
1.0,10,6.202695
-27.0,29,6.226421
0.0,2,6.22816
-5.0,7,6.23404
-2.0,4,6.237431
-13.0,24,6.257188
-17.0,19,6.27318
-8.0,10,6.281411
2.0,9,6.289242
-19.0,21,6.309116
-2.0,4,6.312384
-29.0,31,6.338044
-14.0,16,6.35137
-12.0,23,6.36976
-10.0,12,6.379421
-5.0,7,6.385474
-3.0,5,6.389974
-5.0,7,6.395788
-15.0,17,6.412245
4.0,7,6.418167
-1.0,12,6.428254
-13.0,15,6.440914
-8.0,10,6.449121
-21.0,23,6.467752
-8.0,10,6.476051
10.0,1,6.47699
5.0,6,6.48204
-15.0,17,6.495963
-35.0,37,6.528702
-3.0,14,6.540566
-2.0,4,6.543839
10.0,1,6.544708
-21.0,23,6.563194
8.0,3,6.565665
8.0,3,6.568127
0.0,2,6.57001
-38.0,40,6.624917
-5.0,7,6.6308
-2.0,4,6.634404
-6.0,8,6.641493
-13.0,15,6.653995
-3.0,14,6.665594
-4.0,6,6.670503
-26.0,28,6.693016
-37.0,39,6.727224
10.0,1,6.728137
0.0,2,6.729853
4.0,7,6.735668
-12.0,23,6.754903
-3.0,5,6.759287
-6.0,8,6.765768
-1.0,12,6.775438
-11.0,13,6.7863
-3.0,5,6.790463
-3.0,5,6.794605
-6.0,8,6.801114
-24.0,26,6.824708
9.0,2,6.826446
-17.0,19,6.842212
-6.0,8,6.848855
-14.0,16,6.862155
5.0,6,6.867033
-2.0,4,6.870319
-8.0,19,6.885526
-1.0,3,6.888033
-4.0,15,6.90005
10.0,1,6.900921
-5.0,7,6.906596
-6.0,17,6.92055
-3.0,5,6.924765
-7.0,9,6.934171
-11.0,13,6.944807
-17.0,19,6.960489
-61.0,63,7.01248
-18.0,20,7.028959
-24.0,26,7.052349
-6.0,8,7.059248
-14.0,25,7.079906
-4.0,6,7.084775
-27.0,29,7.10835
-5.0,7,7.114199
10.0,1,7.115087
-4.0,6,7.120051
10.0,1,7.120943
10.0,1,7.121877
-50.0,52,8.113054
-23.0,25,8.133356
10.0,1,8.134283
-14.0,16,8.147284
5.0,6,8.152253
-38.0,40,8.186683
-19.0,21,8.204209
-17.0,19,8.220026
8.0,3,8.222583
-2.0,4,8.225934
-6.0,8,8.232586
-12.0,23,8.251308
5.0,6,8.256375
-20.0,22,8.274712
-25.0,36,8.306049
4.0,7,8.311705
-3.0,5,8.315819
0.0,2,8.317576
10.0,1,8.31849
-13.0,15,8.331233
-7.0,9,8.338732
-2.0,13,8.349575
-14.0,16,8.362698
-2.0,13,8.37372
-3.0,5,8.37813
-2.0,4,8.381655
-17.0,19,8.399439
6.0,5,8.403625
-6.0,8,8.410597
-19.0,21,8.427657
-4.0,6,8.4325
-18.0,20,8.448551
10.0,1,8.449424
-11.0,13,8.459865
-25.0,27,8.481842
-28.0,30,8.508608
-8.0,10,8.517067
-9.0,11,8.526445
6.0,5,8.530541
-14.0,25,8.550889
-6.0,17,8.564742
-1.0,3,8.567338
4.0,7,8.573118
-10.0,12,8.58348
4.0,7,8.589484
10.0,1,8.590527
0.0,2,8.59226
-22.0,24,8.614601
-6.0,8,8.621254
-11.0,13,8.632255
-10.0,12,8.642537
-1.0,3,8.6451
-23.0,25,8.665441
-11.0,22,8.684005
10.0,1,8.684934
-16.0,18,8.699843
-1.0,3,8.702426
-3.0,5,8.706855
3.0,8,8.715887
-3.0,5,8.72021
0.0,11,8.729501
-5.0,7,8.735759
-43.0,45,8.772809
-1.0,3,8.775514
8.0,3,8.778103
-5.0,7,8.784163
-15.0,17,8.797775
10.0,1,8.798667
1.0,1,8.799653
-20.0,31,8.827183
-5.0,7,8.83295
-20.0,22,8.851245
-10.0,12,8.861214
2.0,9,8.868495
8.0,3,8.870994
-5.0,7,8.876703
-9.0,20,8.892747
9.0,2,8.894442
-11.0,13,8.90502
10.0,1,8.905901
-27.0,29,8.932201
-6.0,8,8.938686
-9.0,11,8.947828
10.0,1,8.948729
8.0,3,8.951195
-4.0,6,8.956273
4.0,7,8.962157
-15.0,26,8.983736
-6.0,8,8.990353
-15.0,26,9.011951
-4.0,6,9.016961
8.0,3,9.019446
0.0,2,9.021176
10.0,1,9.022065
-9.0,20,9.040116
0.0,11,9.049113
-49.0,51,9.090318
-1.0,12,9.100035
-12.0,14,9.111613
-14.0,16,9.124943
-10.0,12,9.136681
5.0,6,9.141832
-42.0,44,9.177619
10.0,1,9.178597
-25.0,27,9.200202
0.0,11,9.209615
-1.0,12,9.219378
-1.0,12,9.229435
7.0,4,9.232776
-6.0,8,9.241303
0.0,2,9.243038
4.0,7,9.249217
-18.0,20,9.265488
0.0,2,9.267176
-8.0,10,9.275299
10.0,1,9.276174
-9.0,11,9.284983
4.0,7,9.29074
-3.0,14,9.302192
-2.0,4,9.30556
7.0,4,9.308999
0.0,2,9.310713
0.0,2,9.312429
-12.0,14,9.323948
-10.0,12,9.333706
3.0,8,9.342259
-14.0,16,9.356552
-63.0,74,9.417626
-1.0,3,9.420138
-4.0,6,9.425315
10.0,1,9.426226
-10.0,12,9.436083
0.0,2,9.437825
-13.0,15,9.451977
-13.0,15,9.464074
-7.0,9,9.471453
-22.0,24,9.49123
7.0,4,9.494578
-4.0,6,9.499637
10.0,1,9.500528
-6.0,17,9.514359
-21.0,23,9.533016
6.0,5,9.537231
6.0,5,9.541489
-8.0,10,9.551898
-16.0,27,9.574887
-4.0,6,9.580776
-11.0,13,9.591751
-5.0,7,9.597418
-5.0,16,9.611105
-12.0,14,9.622538
7.0,4,9.626074
-6.0,8,9.632855
-8.0,10,9.641441
-27.0,29,9.667506
-4.0,6,9.672506
-1.0,3,9.67522
-3.0,5,9.679278
0.0,11,9.688437
7.0,4,9.691939
-17.0,28,9.714467
10.0,1,9.715377
10.0,1,9.716254
-3.0,5,9.720379
-2.0,4,9.723727
-4.0,6,9.728621
-21.0,23,9.747732
-11.0,13,9.760493
-7.0,9,9.767954
-6.0,8,9.774825
-7.0,9,9.782526
-7.0,9,9.790328
-20.0,22,10.737419
-3.0,14,10.748878
-1.0,3,10.751583
-2.0,4,10.754921
-12.0,14,10.766632
-5.0,7,10.772522
-7.0,9,10.780134
-10.0,12,10.791332
-2.0,4,10.794662
-4.0,6,10.801551
4.0,7,10.80733
-4.0,6,10.81243
0.0,2,10.814484
-3.0,5,10.818581
-11.0,22,10.837001
0.0,2,10.838766
-12.0,14,10.850421
-5.0,7,10.856437
-8.0,10,10.864687
-10.0,12,10.875162
-5.0,7,10.881052
-17.0,19,10.89655
-9.0,11,10.907562
4.0,7,10.913446
0.0,2,10.91519
-9.0,11,10.924317
5.0,6,10.92933
-14.0,16,10.942382
9.0,2,10.944142
-7.0,9,10.951477
-1.0,12,10.961271
5.0,6,10.966362
-6.0,8,10.97358
-3.0,5,10.977804
-13.0,15,10.991061
6.0,5,10.995364
-9.0,11,11.004911
6.0,5,11.01162
-4.0,6,11.016687
7.0,4,11.02013
4.0,7,11.026019
-5.0,7,11.032004
10.0,1,11.032935
-13.0,15,11.045345
8.0,3,11.047828
-14.0,16,11.06059
-1.0,3,11.06308
-8.0,10,11.071205
6.0,5,11.075414
0.0,11,11.084453
-4.0,6,11.08942
-8.0,10,11.097925
8.0,3,11.100491
8.0,3,11.10303
-2.0,4,11.106392
-4.0,6,11.113595
-8.0,10,11.121739
-1.0,3,11.124539
8.0,3,11.12708
-8.0,19,11.143065
1.0,10,11.151339
-4.0,6,11.156335
0.0,11,11.165612
10.0,1,11.166521
-3.0,5,11.170624
6.0,5,11.174924
-8.0,10,11.183844
7.0,4,11.187281
-9.0,11,11.196405
10.0,1,11.197344
-2.0,4,11.200622
-33.0,35,11.231057
9.0,2,11.232775
-4.0,6,11.237721
8.0,3,11.240377
-5.0,16,11.253639
1.0,1,11.254576
-10.0,12,11.264464
-8.0,10,11.272809
10.0,1,11.273688
-2.0,4,11.277112
-17.0,19,11.29297
-19.0,21,11.310269
-8.0,10,11.318334
2.0,9,11.327822
-10.0,12,11.337944
-6.0,8,11.344801
8.0,3,11.347268
-10.0,21,11.363964
-6.0,8,11.370502
1.0,10,11.37873
10.0,1,11.3797
10.0,1,11.380641
-2.0,13,11.391591
-7.0,9,11.40025
-7.0,9,11.40766
-16.0,18,11.42222
-1.0,3,11.426735
-7.0,18,11.441509
-26.0,28,11.464494
-2.0,13,11.475764
-15.0,17,11.489742
-8.0,10,11.497938
-5.0,16,11.510919
3.0,8,11.517669
2.0,9,11.527196
-8.0,10,11.535356
-3.0,5,11.539484
2.0,9,11.54686
9.0,2,11.548591
7.0,4,11.551875
-4.0,6,11.556815
7.0,4,11.56011
-3.0,5,11.564186
8.0,3,11.56664
-5.0,16,11.579716
-6.0,17,11.593441
-3.0,5,11.597598
10.0,1,11.598491
-7.0,9,11.605733
0.0,11,11.61526
-1.0,3,11.617822
-7.0,9,11.625454
-5.0,7,11.633276
8.0,3,11.63574
8.0,3,11.638333
10.0,1,11.639252
9.0,2,11.641203
-6.0,17,11.65541
-11.0,13,11.666471
-2.0,4,11.669789
-6.0,8,11.676302
9.0,2,11.677994
-1.0,3,11.680499
-1.0,3,11.683012
1.0,1,11.683904
-2.0,4,11.687176
-19.0,30,11.711484
-6.0,17,11.72617
-9.0,20,11.745127
2.0,9,11.752716
7.0,4,11.75606
-20.0,31,11.782064
-5.0,7,11.787801
-6.0,8,11.79431
-6.0,8,11.800742
1.0,10,11.809035
-4.0,6,11.814066
-27.0,29,11.837892
-8.0,19,11.855363
5.0,6,11.860321
-11.0,13,11.871016
-9.0,11,11.880125
3.0,8,11.886739
-9.0,11,11.8959
-2.0,4,11.899218
-10.0,21,11.916108
-8.0,10,11.924082
-7.0,9,11.931291
10.0,1,11.932245
3.0,8,11.938767
-4.0,6,11.943814
7.0,4,11.949332
0.0,2,11.951045
9.0,2,11.95274
-14.0,16,11.96578
-4.0,15,11.978543
10.0,1,11.979562
-25.0,27,12.001993
-2.0,4,12.005336
7.0,4,12.008686
-2.0,4,12.011965
-13.0,15,12.02407
-9.0,11,12.03318
-6.0,8,12.039849
-6.0,8,12.046438
4.0,7,12.05427
-3.0,5,12.058716
0.0,11,12.067995
6.0,5,12.072155
-10.0,12,12.082098
-8.0,10,12.090528
-34.0,36,12.119003
-29.0,31,12.143946
0.0,2,12.145738
-2.0,4,12.149146
-36.0,47,12.189828
10.0,1,12.19094
-4.0,15,12.203218
9.0,2,12.204936
-11.0,13,12.215236
-11.0,22,12.232725
6.0,5,12.239408
-10.0,12,12.252605
9.0,2,12.255413
8.0,3,12.261481
-4.0,6,12.26682
9.0,2,12.269448
-10.0,12,12.345328
-2.0,4,12.350415
1.0,10,12.359571
-6.0,17,12.377158
10.0,1,12.378082
-20.0,22,12.397641
-3.0,5,12.401852
-1.0,12,12.411859
-7.0,9,12.41921
-16.0,18,12.434384
-4.0,6,12.439416
0.0,2,12.441136
-1.0,12,12.451069
-1.0,12,12.46104
7.0,4,12.466512
-9.0,20,12.487815
0.0,11,12.501492
-5.0,7,12.510194
-2.0,4,12.515111
8.0,3,12.518429
-5.0,7,12.525582
-7.0,9,12.534472
0.0,2,12.536411
-8.0,10,12.544998
8.0,3,12.547608
2.0,9,12.555099
-13.0,15,12.570274
0.0,11,13.500614
-6.0,8,13.509435
-4.0,6,13.514532
-7.0,9,13.521853
-8.0,10,13.530091
1.0,1,13.530997
10.0,1,13.531873
7.0,4,13.535212
2.0,9,13.542638
5.0,6,13.547551
-16.0,18,13.562112
10.0,1,13.562999
-9.0,20,13.57914
-18.0,20,13.595729
2.0,9,13.603456
-9.0,11,13.614756
8.0,3,13.617815
-5.0,7,13.623897
8.0,3,13.626466
-6.0,8,13.633415
-21.0,32,13.660746
-25.0,27,13.682656
-15.0,17,13.696636
