#{"t_start": 1706354857.7796109, "env_id": "None"}
r,l,t
12.0,12,0.168667
15.0,15,0.182446
11.0,11,0.191299
10.0,10,0.20388
27.0,27,0.22823
17.0,17,0.242507
14.0,14,0.253425
27.0,27,0.274547
15.0,15,0.28614
13.0,13,0.296311
19.0,19,0.314321
7.0,7,0.320087
12.0,12,0.329851
13.0,13,0.340192
5.0,5,0.344143
8.0,8,0.350496
14.0,14,0.361522
15.0,15,0.373309
10.0,10,0.381202
29.0,29,0.40583
18.0,18,0.421791
9.0,9,0.428942
28.0,28,0.451635
12.0,12,0.462568
10.0,10,0.470952
8.0,8,0.478543
29.0,29,0.499747
23.0,23,0.521057
19.0,19,0.536886
21.0,21,0.553727
21.0,21,0.570486
31.0,31,0.595449
4.0,4,0.598907
36.0,36,0.632081
20.0,20,0.649199
20.0,20,0.667272
28.0,28,0.689773
29.0,29,0.713729
50.0,50,0.761005
3.0,3,0.763251
24.0,24,0.781635
8.0,8,0.787764
54.0,54,0.833233
19.0,19,0.848517
22.0,22,0.865472
13.0,13,0.876528
7.0,7,0.8817
6.0,6,0.886133
28.0,28,0.907121
23.0,23,0.927361
8.0,8,0.933536
17.0,17,0.948731
24.0,24,0.971123
16.0,16,0.987461
14.0,14,1.00028
22.0,22,1.022941
5.0,5,1.027328
17.0,17,1.043762
23.0,23,1.064964
15.0,15,1.076885
61.0,61,1.126348
7.0,7,1.132103
15.0,15,1.144208
18.0,18,1.158674
6.0,6,1.163426
12.0,12,1.174569
3.0,3,1.176888
34.0,34,1.20501
3.0,3,1.207401
10.0,10,1.215107
15.0,15,1.229356
55.0,55,1.280269
17.0,17,1.293348
13.0,13,1.30337
15.0,15,1.316044
8.0,8,1.323276
7.0,7,1.333716
13.0,13,1.344617
33.0,33,1.37727
13.0,13,1.391367
6.0,6,1.397144
16.0,16,1.412478
11.0,11,1.423068
27.0,27,1.450007
25.0,25,1.474174
40.0,40,1.509404
38.0,38,1.552725
16.0,16,1.568603
3.0,3,1.571385
47.0,47,1.615362
11.0,11,1.625321
43.0,43,1.66327
18.0,18,1.679443
79.0,79,1.754391
13.0,13,1.767244
30.0,30,1.794722
21.0,21,1.81736
1.0,1,1.81827
13.0,13,1.82912
7.0,7,1.835415
20.0,20,1.85137
49.0,49,1.898929
13.0,13,1.909714
14.0,14,1.921128
12.0,12,1.930472
2.0,2,1.932062
8.0,8,1.938231
34.0,34,3.030796
27.0,27,3.058476
21.0,21,3.076275
10.0,10,3.08594
11.0,11,3.098507
28.0,28,3.128647
36.0,36,3.167727
39.0,39,3.202919
12.0,12,3.213145
9.0,9,3.224461
16.0,16,3.239819
41.0,41,3.280843
10.0,10,3.290943
11.0,11,3.300036
13.0,13,3.311013
3.0,3,3.322142
10.0,10,3.342029
19.0,19,3.371671
5.0,5,3.376088
27.0,27,3.400265
31.0,31,3.429476
24.0,24,3.452023
7.0,7,3.458264
28.0,28,3.48294
5.0,5,3.487108
16.0,16,3.500046
2.0,2,3.501681
24.0,24,3.5202
16.0,16,3.535415
28.0,28,3.559485
60.0,60,3.610792
22.0,22,3.63284
5.0,5,3.636951
9.0,9,3.645575
24.0,24,3.670537
16.0,16,3.684743
26.0,26,3.704809
10.0,10,3.712412
6.0,6,3.716992
7.0,7,3.722433
4.0,4,3.725553
14.0,14,3.736285
10.0,10,3.746307
3.0,3,3.748924
42.0,42,3.781384
67.0,67,3.838775
20.0,20,3.858105
21.0,21,3.878309
9.0,9,3.886307
33.0,33,3.912677
13.0,13,3.925527
7.0,7,3.931674
33.0,33,3.962922
54.0,54,4.006154
11.0,11,4.01436
6.0,6,4.018785
14.0,14,4.029037
3.0,3,4.031284
7.0,7,4.036376
7.0,7,4.04144
1.0,1,4.042237
27.0,27,4.064765
13.0,13,4.077967
16.0,16,4.093226
4.0,4,4.096713
86.0,86,4.166015
19.0,19,4.181984
11.0,11,4.191663
20.0,20,4.215377
24.0,24,4.233913
7.0,7,4.239313
7.0,7,4.244642
9.0,9,4.251368
10.0,10,4.259053
10.0,10,4.27106
7.0,7,4.277125
3.0,3,4.279539
17.0,17,4.293818
63.0,63,4.342541
10.0,10,4.349978
28.0,28,4.375296
65.0,65,4.428249
20.0,20,4.443679
2.0,2,4.44522
70.0,70,4.513131
4.0,4,4.5167
22.0,22,4.533502
51.0,51,4.571478
3.0,3,4.5781
41.0,41,4.614191
10.0,10,4.622335
12.0,12,4.631438
16.0,16,4.643606
19.0,19,4.657602
27.0,27,4.677445
29.0,29,4.704491
3.0,3,4.707698
6.0,6,4.712444
7.0,7,4.718797
31.0,31,4.746023
11.0,11,4.754536
6.0,6,4.759321
23.0,23,4.777081
15.0,15,4.792023
46.0,46,4.829609
21.0,21,4.846947
17.0,17,5.798822
8.0,8,5.80518
